                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6735,                 3.0666,                 1.4607,                0.41056,                0.09491,                0.07018,                0.03477,                 1.9795,                 1.9589,                 1.1142,               0.055111,              0.0049877,              0.0049877
                      2,                  1.982,                  1.988,                 1.0962,                0.36292,                0.12749,                0.10281,                0.05002,                 1.9508,                 1.7837,                 1.0574,               0.010012,              0.0098888,              0.0098888
                      3,                 1.8993,                 1.7791,                 1.0607,                0.20772,                0.17377,                0.13008,                0.06893,                 1.7945,                 1.5444,                 1.0364,               0.009802,               0.009802,               0.009802
                      4,                 1.8041,                 1.6349,                 1.0324,                0.23386,                0.21332,                0.16592,                 0.0891,                 1.7043,                 1.4371,                 1.0062,               0.009802,               0.009802,               0.009802
                      5,                  1.746,                 1.5384,                 1.0149,                0.26195,                0.20481,                 0.1769,                0.09716,                 1.6416,                 1.3863,                0.98685,               0.009703,               0.009703,               0.009703
                      6,                 1.7075,                 1.4681,                 1.0007,                0.27805,                0.21481,                 0.1872,                0.10202,                 1.6262,                 1.3282,                0.98237,               0.009604,               0.009604,               0.009604
                      7,                 1.6731,                 1.4147,                0.99369,                0.25982,                0.22422,                0.19311,                0.10481,                 1.5793,                 1.3247,                0.97367,               0.009505,               0.009505,               0.009505
                      8,                 1.6463,                 1.3729,                0.98418,                0.29357,                0.24436,                0.20776,                0.11296,                 1.5784,                 1.2735,                0.96316,               0.009406,               0.009406,               0.009406
                      9,                 1.6215,                   1.34,                0.97863,                0.30104,                  0.242,                0.21681,                0.12109,                  1.539,                 1.2354,                0.96066,               0.009307,               0.009307,               0.009307
                     10,                 1.6027,                 1.3095,                0.97461,                0.32441,                0.25922,                0.22892,                0.12944,                 1.5189,                 1.2178,                0.95615,               0.009208,               0.009208,               0.009208
                     11,                 1.5943,                 1.2961,                0.97336,                  0.333,                0.25688,                0.23611,                0.13257,                 1.5168,                 1.1982,                0.95261,               0.009109,               0.009109,               0.009109
                     12,                 1.5617,                 1.2627,                0.96838,                0.35133,                0.25317,                0.23911,                0.13537,                 1.5046,                 1.1834,                0.94761,                0.00901,                0.00901,                0.00901
                     13,                 1.5643,                 1.2514,                0.96389,                0.33394,                0.26124,                 0.2445,                0.13659,                 1.5016,                 1.1789,                0.94978,               0.008911,               0.008911,               0.008911
                     14,                 1.5573,                 1.2397,                0.96168,                0.34535,                0.26046,                0.24854,                0.13951,                 1.4865,                 1.1694,                0.94596,               0.008812,               0.008812,               0.008812
                     15,                 1.5435,                 1.2214,                0.95969,                 0.3612,                0.26233,                 0.2521,                0.14176,                 1.4813,                 1.1586,                0.94294,               0.008713,               0.008713,               0.008713
                     16,                 1.5316,                 1.2086,                0.95678,                0.35272,                0.27413,                0.25718,                0.14538,                 1.4711,                 1.1405,                0.93992,               0.008614,               0.008614,               0.008614
                     17,                  1.527,                 1.1995,                0.95585,                0.35471,                0.28528,                0.26882,                 0.1497,                 1.4677,                  1.132,                0.94197,               0.008515,               0.008515,               0.008515
                     18,                 1.5224,                 1.1926,                0.95136,                0.34871,                0.28542,                0.26708,                0.15094,                  1.452,                 1.1243,                0.93727,               0.008416,               0.008416,               0.008416
                     19,                 1.5119,                 1.1722,                0.94974,                 0.3628,                0.28811,                0.27121,                0.15371,                 1.4431,                 1.1089,                0.93485,               0.008317,               0.008317,               0.008317
                     20,                 1.4974,                 1.1623,                0.94896,                0.36531,                0.28515,                0.27051,                0.15375,                 1.4411,                 1.1051,                0.93208,               0.008218,               0.008218,               0.008218
                     21,                 1.4993,                   1.16,                0.94717,                0.37081,                0.28454,                0.26862,                0.15266,                 1.4368,                 1.1239,                 0.9313,               0.008119,               0.008119,               0.008119
                     22,                 1.4945,                  1.155,                0.94606,                   0.38,                0.27562,                0.27139,                0.15374,                  1.441,                 1.1158,                0.93734,                0.00802,                0.00802,                0.00802
                     23,                 1.4826,                 1.1415,                0.94328,                0.37441,                0.29651,                0.28154,                0.16052,                 1.4272,                 1.0881,                0.92994,               0.007921,               0.007921,               0.007921
                     24,                 1.4787,                 1.1364,                0.94182,                0.38942,                0.29251,                0.28566,                0.16569,                 1.4134,                 1.0801,                0.92573,               0.007822,               0.007822,               0.007822
                     25,                 1.4746,                 1.1283,                0.94128,                0.37084,                0.29127,                0.27972,                0.15989,                 1.4206,                 1.0843,                0.92608,               0.007723,               0.007723,               0.007723
                     26,                  1.475,                 1.1253,                 0.9416,                0.38501,                0.29741,                0.29021,                0.16619,                 1.4151,                 1.0702,                 0.9244,               0.007624,               0.007624,               0.007624
                     27,                 1.4618,                 1.1169,                 0.9391,                0.37627,                0.29973,                0.28985,                0.16533,                 1.4131,                  1.086,                0.92565,               0.007525,               0.007525,               0.007525
                     28,                  1.461,                 1.1111,                0.93795,                0.38686,                 0.2995,                 0.2898,                0.16727,                 1.4003,                 1.0653,                 0.9221,               0.007426,               0.007426,               0.007426
                     29,                 1.4573,                 1.1069,                0.93793,                0.39076,                0.29383,                0.28911,                0.16543,                 1.4023,                 1.0717,                0.92267,               0.007327,               0.007327,               0.007327
                     30,                 1.4534,                 1.0983,                0.93475,                0.40186,                0.29862,                0.29525,                0.16966,                 1.4085,                 1.0615,                0.92603,               0.007228,               0.007228,               0.007228
                     31,                 1.4547,                 1.1012,                0.93599,                0.39466,                0.29956,                0.29379,                0.16899,                 1.3996,                 1.0623,                0.92283,               0.007129,               0.007129,               0.007129
                     32,                 1.4498,                 1.0909,                0.93286,                0.38821,                 0.2993,                  0.294,                0.16948,                 1.3989,                 1.0588,                0.92195,                0.00703,                0.00703,                0.00703
                     33,                 1.4468,                 1.0924,                0.93566,                0.39618,                0.30233,                0.29515,                0.17046,                 1.3949,                 1.0476,                0.92242,               0.006931,               0.006931,               0.006931
                     34,                 1.4424,                 1.0803,                0.93214,                0.40255,                0.30718,                0.30031,                0.17262,                 1.3997,                 1.0416,                0.92273,               0.006832,               0.006832,               0.006832
                     35,                 1.4366,                 1.0801,                0.93093,                 0.4097,                0.30341,                0.30269,                0.17313,                 1.3846,                 1.0421,                0.91743,               0.006733,               0.006733,               0.006733
                     36,                 1.4392,                 1.0761,                0.93097,                0.39701,                0.31026,                0.30227,                0.17518,                 1.3797,                 1.0377,                0.91619,               0.006634,               0.006634,               0.006634
                     37,                 1.4324,                 1.0703,                0.92858,                 0.4033,                0.31318,                0.30719,                0.17848,                 1.3676,                 1.0313,                0.91466,               0.006535,               0.006535,               0.006535
                     38,                 1.4248,                 1.0606,                 0.9283,                0.39103,                0.31196,                 0.3044,                0.17528,                 1.3818,                  1.036,                0.91619,               0.006436,               0.006436,               0.006436
                     39,                 1.4209,                 1.0592,                0.92966,                0.40183,                0.31467,                0.30819,                0.17796,                 1.3717,                 1.0292,                 0.9149,               0.006337,               0.006337,               0.006337
                     40,                 1.4184,                 1.0588,                0.92721,                0.41371,                0.30632,                0.30759,                0.17819,                 1.3709,                 1.0285,                0.91536,               0.006238,               0.006238,               0.006238
                     41,                 1.4266,                 1.0589,                0.92803,                0.41273,                0.32198,                0.31235,                0.18036,                 1.3725,                 1.0168,                0.91486,               0.006139,               0.006139,               0.006139
