                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8124,                 2.2714,                 1.0915,                0.16292,                0.15292,                0.11587,                0.06071,                  1.764,                 1.6198,                 1.0359,               0.055111,              0.0049877,              0.0049877
                      2,                 1.7836,                 1.6467,                 1.0565,                0.21586,                0.20808,                0.14853,                0.07893,                 1.7476,                 1.4756,                 1.0368,               0.010012,              0.0098888,              0.0098888
                      3,                 1.7615,                 1.5433,                 1.0321,                 0.2741,                0.21809,                0.18169,                0.09725,                  1.674,                 1.3975,                 1.0052,               0.009802,               0.009802,               0.009802
                      4,                 1.6974,                 1.4535,                 1.0089,                0.29118,                0.22359,                0.19856,                 0.1065,                 1.6695,                 1.3334,                 0.9952,               0.009802,               0.009802,               0.009802
                      5,                 1.6616,                 1.3877,                0.99742,                0.30268,                0.24146,                0.21807,                0.11834,                   1.57,                 1.2888,                0.97055,               0.009703,               0.009703,               0.009703
                      6,                 1.6353,                 1.3442,                0.98609,                0.32287,                0.24587,                0.22203,                0.12651,                 1.5517,                 1.2507,                0.96329,               0.009604,               0.009604,               0.009604
                      7,                 1.6114,                 1.3036,                0.98148,                0.30656,                0.25772,                 0.2326,                0.12888,                  1.526,                 1.2366,                0.96051,               0.009505,               0.009505,               0.009505
                      8,                 1.5939,                  1.275,                0.97501,                0.32635,                0.25822,                0.23459,                0.13102,                 1.5282,                 1.2067,                0.95397,               0.009406,               0.009406,               0.009406
                      9,                 1.5725,                 1.2543,                0.97006,                0.31969,                0.25235,                0.23622,                0.13041,                 1.5266,                 1.1988,                0.95562,               0.009307,               0.009307,               0.009307
                     10,                 1.5594,                 1.2312,                0.96694,                0.32959,                 0.2785,                0.24669,                0.13943,                 1.4891,                 1.1727,                0.94712,               0.009208,               0.009208,               0.009208
                     11,                 1.5549,                 1.2213,                0.96661,                0.35862,                0.27039,                0.25064,                0.14272,                 1.4968,                 1.1619,                0.94896,               0.009109,               0.009109,               0.009109
                     12,                 1.5302,                 1.1942,                0.96314,                0.35141,                0.27202,                0.25604,                0.14514,                 1.4798,                 1.1518,                0.94469,                0.00901,                0.00901,                0.00901
                     13,                  1.532,                 1.1921,                0.95867,                0.36092,                0.27156,                0.25763,                0.14536,                 1.4697,                  1.164,                0.94687,               0.008911,               0.008911,               0.008911
                     14,                 1.5276,                 1.1783,                0.95643,                0.36479,                0.27086,                0.26353,                0.14937,                 1.4666,                  1.137,                0.93844,               0.008812,               0.008812,               0.008812
                     15,                 1.5153,                 1.1667,                0.95502,                0.37152,                0.28175,                0.27075,                0.15463,                 1.4509,                 1.1176,                0.93731,               0.008713,               0.008713,               0.008713
                     16,                 1.5056,                  1.156,                0.95276,                0.37046,                  0.285,                0.27146,                 0.1555,                   1.45,                 1.1114,                0.93783,               0.008614,               0.008614,               0.008614
                     17,                 1.5036,                 1.1479,                0.95145,                0.38762,                0.29459,                0.27916,                0.15733,                 1.4395,                 1.0916,                0.93405,               0.008515,               0.008515,               0.008515
                     18,                 1.5013,                 1.1438,                0.94849,                0.37052,                  0.291,                0.27745,                0.15839,                 1.4449,                 1.1011,                0.93355,               0.008416,               0.008416,               0.008416
                     19,                  1.491,                 1.1297,                0.94664,                0.37621,                0.28853,                0.28004,                0.15844,                 1.4428,                 1.0935,                0.93618,               0.008317,               0.008317,               0.008317
                     20,                  1.477,                 1.1161,                0.94589,                 0.3708,                0.30489,                 0.2874,                0.16423,                 1.4289,                 1.0784,                0.93334,               0.008218,               0.008218,               0.008218
                     21,                 1.4804,                 1.1171,                0.94451,                  0.386,                0.30021,                 0.2806,                0.15913,                 1.4335,                 1.1011,                0.93444,               0.008119,               0.008119,               0.008119
                     22,                 1.4747,                 1.1134,                0.94301,                0.38074,                0.28808,                0.27808,                0.15891,                 1.4283,                 1.0886,                 0.9327,                0.00802,                0.00802,                0.00802
                     23,                  1.465,                 1.1018,                0.94054,                0.37577,                 0.2957,                0.28489,                0.16333,                 1.4142,                  1.075,                0.92775,               0.007921,               0.007921,               0.007921
                     24,                 1.4635,                 1.0963,                0.93977,                0.38979,                0.29485,                0.29181,                0.16565,                   1.42,                 1.0687,                0.93142,               0.007822,               0.007822,               0.007822
                     25,                 1.4577,                 1.0896,                0.93864,                0.40395,                0.29266,                0.28738,                0.16574,                 1.4153,                 1.0701,                0.92935,               0.007723,               0.007723,               0.007723
