                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.951,                 2.6049,                 1.8238,                0.18341,                0.12526,                0.07901,                0.03399,                 2.1323,                 1.7537,                 1.2727,               0.055111,              0.0049877,              0.0049877
                      2,                 2.1507,                 1.8569,                 1.2738,                0.16009,                0.15165,                0.10811,                0.05235,                 1.9923,                 1.6396,                 1.1987,               0.010012,              0.0098888,              0.0098888
                      3,                  1.981,                 1.6641,                 1.1901,                0.20068,                0.18521,                 0.1418,                0.07148,                 1.8184,                 1.4862,                 1.1191,               0.009802,               0.009802,               0.009802
                      4,                 1.8576,                 1.5355,                 1.1476,                0.24702,                0.21148,                0.16894,                0.08902,                 1.7178,                 1.3525,                 1.0836,               0.009802,               0.009802,               0.009802
                      5,                 1.7869,                 1.4543,                 1.1219,                0.26303,                0.21608,                0.17703,                0.09349,                 1.6776,                 1.2893,                 1.0653,               0.009703,               0.009703,               0.009703
                      6,                 1.7343,                 1.4044,                 1.0958,                0.27603,                0.23403,                0.18442,                0.09623,                 1.6724,                 1.3209,                 1.0538,               0.009604,               0.009604,               0.009604
                      7,                 1.6981,                 1.3497,                 1.0896,                0.28651,                0.23941,                0.19849,                0.10696,                 1.6128,                 1.2449,                 1.0465,               0.009505,               0.009505,               0.009505
                      8,                 1.6732,                 1.3242,                 1.0783,                0.29952,                0.25281,                0.20991,                0.11248,                 1.5796,                 1.2171,                 1.0366,               0.009406,               0.009406,               0.009406
                      9,                 1.6441,                 1.2934,                  1.068,                0.29472,                0.23076,                0.20561,                0.11033,                 1.5804,                 1.1998,                 1.0289,               0.009307,               0.009307,               0.009307
                     10,                 1.6233,                  1.265,                 1.0586,                0.40559,                0.24424,                0.21634,                0.11551,                 1.5601,                  1.212,                 1.0322,               0.009208,               0.009208,               0.009208
                     11,                 1.6204,                 1.2663,                 1.0609,                0.31785,                0.24616,                0.22449,                0.12285,                  1.524,                 1.1579,                 1.0188,               0.009109,               0.009109,               0.009109
                     12,                 1.5899,                 1.2338,                 1.0541,                0.33023,                0.24906,                0.23013,                0.12315,                 1.5291,                 1.1555,                 1.0215,                0.00901,                0.00901,                0.00901
                     13,                 1.5922,                 1.2332,                 1.0476,                0.33181,                0.25798,                0.23143,                0.12732,                 1.5075,                 1.1324,                 1.0113,               0.008911,               0.008911,               0.008911
                     14,                 1.5713,                 1.2186,                 1.0427,                0.31887,                0.26221,                0.23296,                0.12726,                 1.4831,                 1.1392,                 1.0083,               0.008812,               0.008812,               0.008812
                     15,                 1.5718,                 1.2053,                 1.0373,                0.33647,                0.26486,                0.24198,                0.13108,                 1.5122,                  1.128,                 1.0174,               0.008713,               0.008713,               0.008713
                     16,                 1.5521,                 1.1837,                 1.0345,                0.34566,                0.26758,                0.24851,                0.13705,                 1.4787,                 1.0989,                0.99897,               0.008614,               0.008614,               0.008614
                     17,                 1.5585,                 1.1843,                 1.0378,                0.32947,                0.26667,                0.24604,                0.13524,                 1.4821,                 1.1109,                 1.0029,               0.008515,               0.008515,               0.008515
                     18,                 1.5274,                 1.1639,                 1.0311,                0.33938,                0.27545,                0.25215,                0.13993,                 1.4599,                 1.0948,                 1.0011,               0.008416,               0.008416,               0.008416
                     19,                 1.5389,                 1.1588,                 1.0311,                0.35974,                0.27652,                0.25759,                0.14283,                 1.4542,                 1.0822,                0.99792,               0.008317,               0.008317,               0.008317
                     20,                  1.516,                 1.1503,                  1.028,                0.33441,                0.27831,                 0.2554,                0.14304,                 1.4452,                 1.0796,                0.99393,               0.008218,               0.008218,               0.008218
                     21,                 1.5116,                 1.1436,                 1.0263,                0.35583,                0.27214,                0.26187,                0.14463,                 1.4398,                 1.0772,                0.99376,               0.008119,               0.008119,               0.008119
                     22,                 1.5254,                 1.1342,                 1.0198,                0.36366,                0.27795,                0.26187,                0.14564,                 1.4311,                 1.0612,                0.98958,                0.00802,                0.00802,                0.00802
                     23,                 1.4962,                 1.1173,                  1.017,                0.37119,                0.27839,                0.26722,                0.14973,                  1.418,                 1.0618,                 0.9875,               0.007921,               0.007921,               0.007921
                     24,                 1.5002,                  1.125,                 1.0177,                0.35631,                0.28123,                0.26871,                0.14951,                 1.4246,                 1.0592,                0.98769,               0.007822,               0.007822,               0.007822
                     25,                 1.4896,                 1.1055,                 1.0131,                 0.3689,                0.29116,                0.27149,                0.15171,                 1.4151,                 1.0458,                0.98561,               0.007723,               0.007723,               0.007723
                     26,                 1.4782,                 1.1042,                 1.0171,                 0.3865,                0.27421,                0.26545,                0.14759,                 1.4205,                 1.0521,                0.98788,               0.007624,               0.007624,               0.007624
                     27,                 1.4726,                 1.0985,                 1.0132,                0.37561,                0.28497,                0.26981,                0.15143,                 1.4046,                 1.0466,                0.98158,               0.007525,               0.007525,               0.007525
