                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.713,                 3.1679,                 1.4674,                0.29976,                 0.1023,                0.07064,                0.03305,                 2.0123,                 1.9885,                 1.1046,               0.055111,              0.0049877,              0.0049877
                      2,                 2.0214,                 2.0585,                 1.1096,                0.24654,                0.13273,                  0.096,                0.04989,                  1.891,                 1.7293,                 1.0788,               0.010012,              0.0098888,              0.0098888
                      3,                 1.9144,                  1.818,                 1.0663,                 0.2013,                0.17891,                0.12891,                0.06951,                 1.7648,                 1.5787,                 1.0319,               0.009802,               0.009802,               0.009802
                      4,                 1.8158,                 1.6706,                  1.039,                0.22031,                0.18797,                0.14602,                0.07787,                 1.7142,                  1.488,                0.99879,               0.009802,               0.009802,               0.009802
                      5,                 1.7538,                 1.5589,                 1.0219,                0.21973,                0.20607,                0.15949,                0.08618,                 1.6559,                 1.4086,                0.98805,               0.009703,               0.009703,               0.009703
                      6,                 1.7073,                 1.4969,                 1.0041,                 0.2432,                0.21875,                0.17085,                0.09168,                 1.6604,                  1.397,                0.98491,               0.009604,               0.009604,               0.009604
                      7,                 1.6757,                 1.4297,                0.99728,                0.27103,                0.22159,                0.18712,                0.10425,                 1.6067,                 1.3224,                 0.9741,               0.009505,               0.009505,               0.009505
                      8,                 1.6521,                 1.3937,                0.98963,                0.29775,                0.23322,                0.20538,                0.11326,                 1.5693,                 1.2895,                0.97106,               0.009406,               0.009406,               0.009406
                      9,                 1.6282,                  1.356,                0.98219,                0.27935,                0.21426,                0.19525,                0.10805,                 1.6105,                 1.2832,                0.96551,               0.009307,               0.009307,               0.009307
                     10,                 1.6041,                 1.3202,                0.97433,                0.31427,                0.22431,                0.21282,                 0.1173,                 1.5552,                  1.267,                0.96465,               0.009208,               0.009208,               0.009208
                     11,                 1.6046,                 1.3165,                0.97702,                0.29644,                0.24824,                0.21569,                0.11945,                 1.5254,                 1.2336,                0.95251,               0.009109,               0.009109,               0.009109
                     12,                 1.5766,                 1.2831,                0.96958,                0.32461,                 0.2466,                0.23188,                0.12966,                  1.505,                 1.1962,                 0.9514,                0.00901,                0.00901,                0.00901
                     13,                 1.5805,                 1.2763,                0.96744,                0.32486,                0.25559,                0.23268,                0.13014,                   1.51,                 1.1953,                 0.9507,               0.008911,               0.008911,               0.008911
                     14,                 1.5619,                 1.2633,                0.96547,                0.35084,                0.26101,                0.24551,                0.13806,                 1.4774,                  1.167,                0.94539,               0.008812,               0.008812,               0.008812
                     15,                 1.5636,                 1.2505,                 0.9607,                0.31797,                0.25707,                 0.2364,                0.13059,                 1.5001,                 1.1952,                0.94916,               0.008713,               0.008713,               0.008713
                     16,                 1.5448,                 1.2284,                 0.9576,                0.34888,                0.26944,                 0.2532,                0.14279,                 1.4729,                 1.1522,                0.94139,               0.008614,               0.008614,               0.008614
                     17,                 1.5504,                  1.226,                0.96034,                0.34862,                0.26825,                0.25404,                0.14277,                 1.4681,                  1.147,                0.94192,               0.008515,               0.008515,               0.008515
                     18,                 1.5204,                 1.2022,                0.95364,                0.36643,                0.27181,                0.25596,                0.14477,                 1.4652,                 1.1377,                0.94427,               0.008416,               0.008416,               0.008416
                     19,                 1.5332,                 1.2004,                0.95404,                0.36896,                0.27298,                0.26178,                0.14803,                   1.45,                 1.1284,                0.93741,               0.008317,               0.008317,               0.008317
                     20,                 1.5117,                 1.1883,                0.95272,                0.36941,                0.27348,                0.26034,                0.14765,                 1.4518,                   1.14,                0.93748,               0.008218,               0.008218,               0.008218
