                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4956,                 3.1512,                 2.0513,                0.04859,                0.14256,                 0.0593,                0.02481,                  2.523,                 2.1883,                 1.3904,               0.055111,              0.0049877,              0.0049877
                      2,                 2.4399,                 2.2247,                 1.3916,                 0.2104,                0.12913,                0.08266,                0.03827,                 2.1443,                 1.8909,                 1.2491,               0.010012,              0.0098888,              0.0098888
                      3,                 2.1632,                 1.9307,                 1.2612,                0.20376,                0.14171,                0.10554,                0.05318,                 1.9136,                 1.6464,                 1.1737,               0.009802,               0.009802,               0.009802
                      4,                 2.0072,                 1.7582,                 1.2034,                0.19605,                0.16931,                 0.1304,                0.06596,                 1.8943,                 1.5059,                 1.1352,               0.009802,               0.009802,               0.009802
                      5,                 1.9077,                 1.6367,                 1.1656,                0.21244,                0.18007,                0.14161,                0.07249,                 1.8054,                 1.4366,                 1.1081,               0.009703,               0.009703,               0.009703
                      6,                 1.8352,                 1.5676,                 1.1314,                0.20478,                0.17306,                0.13837,                0.06795,                 1.8454,                 1.4573,                 1.1119,               0.009604,               0.009604,               0.009604
                      7,                 1.7884,                 1.4971,                 1.1213,                0.23982,                0.20483,                0.16754,                 0.0879,                 1.6846,                 1.3471,                 1.0725,               0.009505,               0.009505,               0.009505
                      8,                 1.7497,                 1.4546,                 1.1055,                0.25541,                0.21572,                0.17673,                0.09537,                 1.6543,                 1.3116,                   1.06,               0.009406,               0.009406,               0.009406
                      9,                  1.711,                 1.4107,                 1.0913,                0.27602,                0.21329,                0.18444,                0.09789,                 1.6223,                 1.2813,                  1.049,               0.009307,               0.009307,               0.009307
                     10,                 1.6854,                 1.3756,                 1.0808,                0.27073,                0.20724,                0.18372,                0.09778,                 1.6386,                 1.2964,                 1.0562,               0.009208,               0.009208,               0.009208
                     11,                 1.6775,                 1.3695,                 1.0807,                0.27793,                0.22464,                0.19777,                0.10761,                 1.5783,                 1.2516,                 1.0352,               0.009109,               0.009109,               0.009109
                     12,                   1.65,                 1.3368,                 1.0754,                0.29357,                0.22723,                0.20448,                0.11038,                 1.5667,                 1.2109,                 1.0357,                0.00901,                0.00901,                0.00901
                     13,                  1.645,                 1.3255,                 1.0665,                  0.293,                0.23257,                0.20836,                0.11309,                 1.5634,                 1.2005,                  1.032,               0.008911,               0.008911,               0.008911
                     14,                 1.6219,                 1.3091,                 1.0607,                0.28893,                 0.2344,                0.20743,                0.11253,                 1.5396,                 1.1897,                 1.0266,               0.008812,               0.008812,               0.008812
