                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.875,                 2.5431,                 3.0295,                0.53893,                0.46184,                0.49013,                0.22982,                 1.8688,                 1.7686,                 2.2482,               0.055045,               0.004995,               0.004995
                      2,                 1.9046,                 1.6479,                 2.0627,                0.67301,                0.55191,                0.62614,                0.37651,                 1.4561,                 1.4258,                  1.778,               0.009946,               0.009896,               0.009896
                      3,                 1.6338,                 1.3866,                 1.7788,                 0.7845,                0.66467,                 0.7647,                0.47706,                 1.2978,                 1.1317,                  1.607,               0.009802,               0.009802,               0.009802
                      4,                 1.5241,                 1.2381,                 1.6793,                0.80371,                0.70235,                0.80208,                0.51127,                 1.2625,                0.98153,                 1.5562,               0.009802,               0.009802,               0.009802
                      5,                 1.4611,                 1.1491,                 1.6236,                0.81026,                 0.7179,                0.81349,                0.52853,                 1.2169,                 0.9558,                 1.5199,               0.009703,               0.009703,               0.009703
                      6,                  1.417,                 1.0854,                 1.5878,                0.81605,                0.74014,                0.83274,                0.54843,                 1.1815,                0.87397,                  1.498,               0.009604,               0.009604,               0.009604
                      7,                 1.3926,                 1.0465,                 1.5671,                0.82139,                0.74671,                0.83217,                0.55002,                 1.1727,                 0.8594,                 1.4813,               0.009505,               0.009505,               0.009505
                      8,                 1.3769,                 1.0193,                 1.5543,                  0.825,                0.74525,                0.84194,                0.56047,                 1.1563,                0.83748,                 1.4735,               0.009406,               0.009406,               0.009406
                      9,                 1.3569,                0.99537,                 1.5425,                0.83297,                0.75535,                 0.8468,                0.57256,                 1.1306,                0.81991,                 1.4478,               0.009307,               0.009307,               0.009307
                     10,                 1.3379,                0.96455,                 1.5276,                0.83171,                0.75949,                0.85139,                0.57805,                 1.1268,                0.78454,                 1.4423,               0.009208,               0.009208,               0.009208
                     11,                  1.336,                0.95359,                 1.5239,                0.83185,                0.76476,                0.85211,                0.57188,                 1.1338,                0.78675,                 1.4461,               0.009109,               0.009109,               0.009109
                     12,                 1.3219,                0.93665,                 1.5181,                0.83794,                  0.767,                0.85742,                0.58185,                  1.126,                0.76266,                 1.4436,                0.00901,                0.00901,                0.00901
                     13,                 1.3116,                0.92086,                 1.5059,                0.84144,                0.76863,                0.86222,                0.58704,                 1.1149,                0.75351,                 1.4335,               0.008911,               0.008911,               0.008911
                     14,                 1.3076,                0.91312,                 1.5009,                0.83727,                0.77729,                0.86291,                0.59385,                 1.1026,                0.73791,                 1.4237,               0.008812,               0.008812,               0.008812
                     15,                 1.2964,                 0.9035,                 1.4927,                0.84277,                0.77536,                 0.8683,                0.59765,                 1.0967,                0.73132,                 1.4225,               0.008713,               0.008713,               0.008713
                     16,                 1.2936,                0.89455,                 1.4958,                0.84082,                0.78108,                0.86922,                0.59619,                 1.0992,                0.72343,                 1.4172,               0.008614,               0.008614,               0.008614
                     17,                 1.2845,                0.88144,                 1.4825,                0.84819,                0.78293,                0.87218,                0.60182,                 1.0891,                0.71804,                  1.409,               0.008515,               0.008515,               0.008515
                     18,                 1.2793,                0.87111,                 1.4762,                 0.8491,                   0.78,                0.87296,                0.60525,                 1.0718,                 0.7075,                 1.4034,               0.008416,               0.008416,               0.008416
                     19,                 1.2788,                0.86702,                 1.4791,                0.84515,                0.78372,                0.87375,                0.60528,                 1.0808,                0.70594,                 1.4046,               0.008317,               0.008317,               0.008317
                     20,                 1.2766,                0.86344,                 1.4815,                0.84695,                0.79201,                0.87572,                0.60555,                 1.0812,                0.69061,                 1.4055,               0.008218,               0.008218,               0.008218
                     21,                 1.2663,                0.85853,                 1.4711,                0.84997,                0.78562,                0.87657,                0.60861,                 1.0714,                 0.6934,                 1.4005,               0.008119,               0.008119,               0.008119
                     22,                 1.2601,                0.85073,                 1.4681,                 0.8481,                0.78826,                 0.8782,                0.61023,                 1.0765,                0.68751,                 1.3977,                0.00802,                0.00802,                0.00802
                     23,                 1.2648,                0.85093,                 1.4682,                0.84856,                0.79246,                0.88067,                0.61537,                 1.0606,                0.68043,                 1.3902,               0.007921,               0.007921,               0.007921
                     24,                 1.2596,                0.83699,                  1.462,                0.85109,                 0.7933,                0.88175,                0.61524,                  1.067,                0.67158,                 1.3946,               0.007822,               0.007822,               0.007822
                     25,                 1.2574,                0.83861,                 1.4598,                0.85164,                0.79398,                0.88078,                0.61641,                 1.0627,                0.67025,                 1.3882,               0.007723,               0.007723,               0.007723
                     26,                 1.2509,                0.82778,                 1.4601,                0.85678,                 0.7914,                0.88336,                0.62001,                 1.0532,                 0.6673,                 1.3853,               0.007624,               0.007624,               0.007624
                     27,                 1.2483,                0.82774,                 1.4583,                0.84946,                 0.7988,                 0.8825,                0.61853,                 1.0623,                0.66731,                 1.3857,               0.007525,               0.007525,               0.007525
                     28,                 1.2489,                0.82486,                 1.4611,                0.85318,                0.79499,                0.88389,                0.61958,                 1.0579,                0.66043,                 1.3827,               0.007426,               0.007426,               0.007426
                     29,                 1.2484,                0.82119,                 1.4553,                 0.8531,                0.79757,                0.88387,                0.62067,                 1.0531,                0.65691,                 1.3815,               0.007327,               0.007327,               0.007327
                     30,                 1.2386,                0.81273,                 1.4451,                0.84851,                0.80595,                 0.8869,                0.62336,                 1.0508,                 0.6494,                 1.3801,               0.007228,               0.007228,               0.007228
                     31,                  1.239,                0.81385,                 1.4525,                0.85331,                0.80233,                0.88724,                0.62575,                 1.0458,                0.64635,                 1.3797,               0.007129,               0.007129,               0.007129
                     32,                 1.2338,                0.80397,                 1.4492,                0.86248,                0.80115,                0.88842,                0.62564,                 1.0493,                0.64415,                 1.3832,                0.00703,                0.00703,                0.00703
                     33,                 1.2312,                0.80234,                 1.4432,                0.85338,                 0.8065,                0.88897,                0.62503,                 1.0519,                0.64251,                 1.3815,               0.006931,               0.006931,               0.006931
                     34,                 1.2336,                0.79917,                 1.4438,                0.85893,                0.80409,                0.89003,                0.62798,                 1.0453,                0.63774,                 1.3729,               0.006832,               0.006832,               0.006832
                     35,                  1.228,                0.79221,                  1.439,                0.85622,                0.80345,                0.88763,                0.62759,                 1.0415,                0.63918,                 1.3698,               0.006733,               0.006733,               0.006733
                     36,                 1.2284,                 0.7941,                 1.4356,                0.85521,                0.80222,                0.88911,                0.62693,                  1.048,                0.63706,                  1.372,               0.006634,               0.006634,               0.006634
                     37,                 1.2219,                0.79337,                 1.4405,                0.85446,                0.80772,                0.89108,                 0.6294,                 1.0439,                0.62905,                 1.3714,               0.006535,               0.006535,               0.006535
                     38,                 1.2234,                0.79089,                 1.4405,                0.85933,                0.80191,                0.89028,                0.62959,                 1.0416,                0.63275,                 1.3729,               0.006436,               0.006436,               0.006436
                     39,                 1.2242,                0.78959,                 1.4373,                0.86349,                0.80233,                0.89229,                0.63148,                 1.0407,                0.62791,                 1.3699,               0.006337,               0.006337,               0.006337
                     40,                 1.2148,                0.78332,                 1.4331,                  0.861,                0.80777,                 0.8941,                0.63261,                 1.0403,                0.62176,                 1.3693,               0.006238,               0.006238,               0.006238
                     41,                 1.2238,                0.78067,                 1.4375,                 0.8631,                0.80535,                0.89418,                0.63409,                 1.0365,                0.62255,                 1.3651,               0.006139,               0.006139,               0.006139
                     42,                 1.2139,                0.78008,                 1.4316,                0.85912,                 0.8076,                 0.8937,                0.63444,                 1.0328,                0.62031,                 1.3631,                0.00604,                0.00604,                0.00604
                     43,                 1.2176,                0.77711,                 1.4299,                0.86323,                0.80906,                0.89482,                0.63484,                 1.0348,                0.61599,                 1.3658,               0.005941,               0.005941,               0.005941
                     44,                 1.2109,                0.77185,                 1.4273,                0.85886,                0.81377,                 0.8952,                0.63439,                 1.0332,                 0.6167,                 1.3624,               0.005842,               0.005842,               0.005842
                     45,                 1.2102,                0.77054,                  1.428,                0.86077,                0.81304,                0.89673,                0.63784,                 1.0283,                0.61256,                 1.3605,               0.005743,               0.005743,               0.005743
                     46,                 1.2109,                0.76866,                 1.4288,                 0.8608,                0.81024,                0.89527,                0.63592,                 1.0298,                0.61421,                 1.3591,               0.005644,               0.005644,               0.005644
                     47,                 1.2081,                0.76972,                 1.4269,                0.86362,                0.81355,                0.89772,                0.63794,                 1.0301,                0.60898,                 1.3638,               0.005545,               0.005545,               0.005545
                     48,                 1.2098,                0.76895,                 1.4258,                 0.8623,                 0.8105,                0.89786,                0.63839,                 1.0301,                0.60748,                 1.3608,               0.005446,               0.005446,               0.005446
                     49,                 1.2074,                0.76925,                  1.424,                0.86058,                0.81259,                0.89709,                0.63789,                  1.029,                 0.6082,                 1.3564,               0.005347,               0.005347,               0.005347
                     50,                 1.2041,                 0.7608,                 1.4223,                0.86202,                0.81506,                0.89793,                0.63856,                 1.0278,                0.60332,                 1.3561,               0.005248,               0.005248,               0.005248
                     51,                 1.2057,                0.75633,                 1.4168,                0.86366,                0.81595,                0.89845,                0.63978,                 1.0271,                0.60215,                 1.3566,               0.005149,               0.005149,               0.005149
                     52,                 1.2002,                 0.7569,                  1.418,                 0.8586,                0.81529,                0.89705,                0.63961,                 1.0232,                0.60195,                 1.3552,                0.00505,                0.00505,                0.00505
                     53,                 1.1997,                0.75706,                 1.4197,                 0.8594,                 0.8202,                0.89837,                0.64113,                 1.0204,                 0.5981,                 1.3538,               0.004951,               0.004951,               0.004951
                     54,                 1.2028,                0.75696,                 1.4196,                0.86241,                 0.8179,                0.89845,                0.63895,                 1.0253,                0.59834,                 1.3557,               0.004852,               0.004852,               0.004852
                     55,                 1.2025,                0.75453,                 1.4178,                0.85967,                0.82064,                0.89884,                0.64122,                 1.0213,                0.59678,                 1.3548,               0.004753,               0.004753,               0.004753
                     56,                 1.1943,                0.74948,                 1.4147,                0.86031,                0.81949,                 0.8985,                0.64149,                 1.0226,                0.59559,                 1.3539,               0.004654,               0.004654,               0.004654
                     57,                 1.1971,                0.74699,                 1.4143,                0.85991,                0.81944,                 0.8987,                0.64206,                 1.0194,                0.59554,                  1.353,               0.004555,               0.004555,               0.004555
                     58,                 1.1931,                0.74406,                 1.4112,                0.86387,                0.81385,                0.89909,                0.64271,                 1.0179,                0.59304,                 1.3487,               0.004456,               0.004456,               0.004456
                     59,                 1.1941,                0.74576,                 1.4162,                0.86265,                0.82073,                0.89992,                 0.6425,                 1.0195,                0.59237,                 1.3515,               0.004357,               0.004357,               0.004357
                     60,                 1.1954,                0.74569,                  1.415,                0.86202,                0.81659,                0.89918,                 0.6421,                 1.0206,                0.59221,                 1.3538,               0.004258,               0.004258,               0.004258
