                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7952,                  2.445,                  2.978,                0.63491,                0.49841,                0.56542,                0.28899,                 1.7758,                 1.6494,                 2.1907,               0.055045,               0.004995,               0.004995
                      2,                 1.8285,                 1.5424,                 2.0221,                0.74217,                0.63074,                0.71923,                0.43332,                 1.3909,                 1.2098,                  1.742,               0.009946,               0.009896,               0.009896
                      3,                 1.5825,                 1.3007,                  1.763,                0.79531,                0.69981,                0.79459,                0.50376,                 1.2499,                 1.0709,                 1.5924,               0.009802,               0.009802,               0.009802
                      4,                 1.4761,                 1.1531,                 1.6658,                0.81782,                0.72219,                0.81987,                0.53542,                 1.2045,                0.92701,                 1.5381,               0.009802,               0.009802,               0.009802
                      5,                  1.416,                 1.0654,                 1.6092,                0.82455,                0.74372,                 0.8376,                0.55617,                 1.1621,                0.88301,                 1.5027,               0.009703,               0.009703,               0.009703
                      6,                 1.3689,                 1.0046,                 1.5713,                0.83419,                0.75862,                0.85088,                0.57247,                 1.1336,                0.80297,                  1.483,               0.009604,               0.009604,               0.009604
                      7,                 1.3473,                0.96713,                 1.5526,                0.83198,                0.76179,                0.85022,                0.57423,                 1.1414,                0.79554,                  1.483,               0.009505,               0.009505,               0.009505
                      8,                   1.33,                 0.9426,                 1.5376,                0.83724,                 0.7647,                0.85759,                0.58491,                 1.1124,                0.76829,                 1.4624,               0.009406,               0.009406,               0.009406
                      9,                 1.3127,                0.91721,                 1.5283,                0.84173,                0.77895,                0.86571,                0.59661,                 1.0928,                0.73998,                 1.4458,               0.009307,               0.009307,               0.009307
                     10,                  1.292,                0.88745,                 1.5121,                0.84475,                0.78024,                0.86714,                0.59875,                 1.0905,                0.72104,                 1.4381,               0.009208,               0.009208,               0.009208
                     11,                 1.2877,                0.87654,                 1.5051,                0.84365,                0.78064,                0.86664,                0.59729,                 1.0876,                0.72616,                 1.4346,               0.009109,               0.009109,               0.009109
                     12,                 1.2762,                0.86096,                 1.5007,                0.84298,                0.78411,                0.87432,                0.60116,                 1.0996,                0.71539,                 1.4417,                0.00901,                0.00901,                0.00901
                     13,                  1.265,                0.84581,                 1.4889,                 0.8434,                0.78988,                 0.8772,                0.60972,                 1.0728,                0.69376,                 1.4262,               0.008911,               0.008911,               0.008911
                     14,                  1.261,                0.83841,                 1.4838,                0.84679,                0.79588,                0.87907,                0.61759,                 1.0625,                0.67194,                 1.4123,               0.008812,               0.008812,               0.008812
                     15,                 1.2498,                0.82895,                 1.4755,                0.84179,                0.80319,                0.88258,                0.61756,                 1.0677,                0.67748,                 1.4186,               0.008713,               0.008713,               0.008713
                     16,                 1.2467,                 0.8231,                 1.4797,                0.85155,                0.79605,                 0.8832,                0.61981,                 1.0547,                0.67194,                 1.4098,               0.008614,               0.008614,               0.008614
                     17,                 1.2367,                0.81087,                 1.4645,                0.84988,                0.80693,                0.88669,                0.62183,                  1.055,                0.65829,                 1.4063,               0.008515,               0.008515,               0.008515
                     18,                 1.2318,                0.80079,                 1.4583,                0.85204,                0.80643,                0.88647,                0.62789,                 1.0459,                0.64842,                 1.4049,               0.008416,               0.008416,               0.008416
                     19,                 1.2323,                0.79896,                 1.4626,                0.85279,                0.80594,                0.88817,                0.62669,                 1.0468,                0.64861,                  1.399,               0.008317,               0.008317,               0.008317
                     20,                 1.2315,                0.79478,                 1.4636,                0.84886,                0.81285,                0.89022,                0.62741,                 1.0452,                0.64192,                 1.3955,               0.008218,               0.008218,               0.008218
                     21,                 1.2194,                0.78594,                 1.4541,                0.85049,                0.80704,                0.88904,                0.62879,                 1.0395,                0.64077,                  1.394,               0.008119,               0.008119,               0.008119
                     22,                  1.213,                0.77922,                 1.4489,                0.85308,                0.81076,                 0.8912,                0.63036,                 1.0437,                0.63404,                 1.3895,                0.00802,                0.00802,                0.00802
                     23,                 1.2167,                0.78185,                 1.4511,                 0.8589,                0.81035,                0.89309,                0.63377,                 1.0334,                   0.63,                 1.3853,               0.007921,               0.007921,               0.007921
                     24,                  1.213,                0.77029,                 1.4443,                0.85705,                0.81557,                0.89444,                0.63541,                 1.0339,                0.62139,                 1.3887,               0.007822,               0.007822,               0.007822
                     25,                   1.21,                0.76807,                 1.4403,                0.85767,                0.81268,                0.89428,                0.63544,                 1.0291,                0.61955,                 1.3856,               0.007723,               0.007723,               0.007723
                     26,                 1.2043,                 0.7585,                 1.4425,                0.86069,                0.81586,                0.89733,                0.63976,                  1.028,                0.61569,                 1.3853,               0.007624,               0.007624,               0.007624
                     27,                  1.201,                0.75885,                 1.4417,                0.85568,                0.81425,                0.89462,                0.63975,                 1.0243,                0.61989,                 1.3786,               0.007525,               0.007525,               0.007525
                     28,                 1.2022,                0.75665,                 1.4422,                0.86162,                0.81658,                0.89766,                0.63899,                 1.0294,                0.61145,                 1.3819,               0.007426,               0.007426,               0.007426
                     29,                 1.2007,                0.75328,                 1.4379,                0.85676,                0.81439,                0.89706,                0.64051,                 1.0205,                 0.6068,                 1.3752,               0.007327,               0.007327,               0.007327
                     30,                 1.1878,                0.74589,                 1.4252,                0.86904,                0.81276,                 0.9006,                0.64307,                  1.022,                0.60139,                 1.3759,               0.007228,               0.007228,               0.007228
