                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2568,                 2.5097,                   2.97,                0.33202,                0.35524,                0.27472,                0.11228,                 2.1958,                 2.0745,                 2.2397,                0.05509,                0.00499,                0.00499
                      2,                 2.1341,                 1.6533,                 1.9807,                0.65636,                0.51679,                 0.5846,                0.31259,                 1.7066,                 1.4226,                 1.7639,              0.0099911,              0.0098911,              0.0098911
                      3,                 1.7779,                 1.3793,                 1.6649,                0.73742,                 0.5985,                0.69022,                0.40803,                 1.4487,                  1.209,                 1.5314,               0.009802,               0.009802,               0.009802
                      4,                 1.6289,                 1.2308,                 1.5481,                0.77907,                 0.6419,                0.74389,                0.45912,                 1.3469,                  1.073,                 1.4379,               0.009802,               0.009802,               0.009802
                      5,                 1.5615,                 1.1572,                 1.4935,                0.79366,                0.67633,                0.77433,                0.48551,                 1.3055,                0.98268,                 1.4067,               0.009703,               0.009703,               0.009703
                      6,                 1.5208,                 1.1103,                 1.4671,                0.79696,                0.68227,                0.78251,                0.49118,                 1.2836,                0.95869,                 1.3837,               0.009604,               0.009604,               0.009604
                      7,                 1.4889,                 1.0721,                 1.4428,                0.79415,                0.69405,                0.78783,                0.49824,                 1.2563,                0.93272,                 1.3713,               0.009505,               0.009505,               0.009505
                      8,                 1.4662,                 1.0404,                 1.4267,                0.81452,                0.70056,                0.80285,                0.51524,                 1.2372,                0.89047,                 1.3545,               0.009406,               0.009406,               0.009406
                      9,                 1.4509,                 1.0266,                 1.4204,                0.82098,                0.70555,                0.80925,                0.52226,                 1.2241,                 0.8658,                 1.3475,               0.009307,               0.009307,               0.009307
                     10,                 1.4338,                 1.0087,                 1.4086,                 0.8025,                0.72971,                0.81304,                0.52883,                  1.209,                0.85836,                  1.335,               0.009208,               0.009208,               0.009208
                     11,                 1.4208,                0.99106,                 1.3942,                0.81696,                0.71278,                0.81272,                 0.5317,                  1.195,                 0.8489,                 1.3182,               0.009109,               0.009109,               0.009109
                     12,                 1.4014,                0.97669,                 1.3856,                0.82383,                0.71011,                 0.8154,                0.53178,                 1.1963,                0.84539,                  1.318,                0.00901,                0.00901,                0.00901
                     13,                  1.394,                0.96391,                 1.3789,                 0.8344,                0.73323,                0.83043,                0.54509,                 1.1861,                0.80933,                  1.311,               0.008911,               0.008911,               0.008911
                     14,                 1.3869,                0.95658,                 1.3711,                0.82622,                0.73308,                0.82708,                0.54946,                 1.1652,                0.80652,                 1.2979,               0.008812,               0.008812,               0.008812
                     15,                 1.3774,                0.94635,                  1.359,                 0.8315,                0.73061,                0.82959,                0.55157,                  1.158,                0.80224,                 1.2948,               0.008713,               0.008713,               0.008713
                     16,                 1.3735,                0.93949,                 1.3629,                0.82759,                0.73487,                0.82965,                0.55468,                 1.1577,                0.79126,                 1.2903,               0.008614,               0.008614,               0.008614
                     17,                 1.3656,                0.92646,                 1.3529,                0.82789,                 0.7351,                0.83167,                0.55807,                 1.1447,                0.78349,                 1.2841,               0.008515,               0.008515,               0.008515
                     18,                 1.3543,                0.91921,                 1.3494,                0.82777,                0.75086,                0.84174,                0.56306,                 1.1436,                0.77095,                 1.2821,               0.008416,               0.008416,               0.008416
                     19,                 1.3531,                0.91541,                 1.3467,                0.83363,                0.73814,                0.83785,                0.56169,                 1.1402,                0.78031,                  1.277,               0.008317,               0.008317,               0.008317
                     20,                 1.3532,                0.91219,                 1.3411,                0.83233,                0.74572,                0.84195,                0.56812,                 1.1344,                0.76161,                 1.2667,               0.008218,               0.008218,               0.008218
                     21,                 1.3401,                0.89939,                 1.3357,                0.83507,                 0.7536,                0.84544,                0.56963,                 1.1317,                0.75503,                 1.2695,               0.008119,               0.008119,               0.008119
                     22,                 1.3316,                0.89266,                 1.3321,                0.83251,                0.75472,                0.84677,                0.57357,                 1.1169,                0.74817,                 1.2585,                0.00802,                0.00802,                0.00802
                     23,                 1.3275,                0.88665,                 1.3305,                0.83983,                0.74671,                0.84386,                 0.5684,                 1.1302,                0.75729,                 1.2658,               0.007921,               0.007921,               0.007921
                     24,                 1.3253,                0.88256,                 1.3251,                0.83763,                0.75383,                0.84739,                0.57397,                 1.1196,                0.74509,                 1.2603,               0.007822,               0.007822,               0.007822
                     25,                 1.3241,                0.87936,                 1.3239,                0.83968,                0.75421,                0.84744,                0.57531,                 1.1129,                0.74257,                 1.2534,               0.007723,               0.007723,               0.007723
