                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0602,                 2.3585,                 2.9276,                0.42484,                0.39741,                0.34567,                0.15597,                 2.0331,                 1.7866,                 2.1743,                0.05509,                0.00499,                0.00499
                      2,                 2.0041,                 1.5386,                 1.9252,                0.64818,                0.52319,                0.58676,                0.32903,                 1.6433,                 1.3842,                 1.7541,              0.0099911,              0.0098911,              0.0098911
                      3,                 1.7206,                 1.3173,                 1.6487,                0.74145,                0.62475,                0.70433,                0.42221,                 1.3989,                 1.2374,                 1.5161,               0.009802,               0.009802,               0.009802
                      4,                  1.581,                 1.1768,                 1.5352,                0.77537,                0.64756,                0.74535,                0.46312,                 1.3295,                 1.0308,                 1.4508,               0.009802,               0.009802,               0.009802
                      5,                 1.5237,                 1.1055,                 1.4832,                0.80727,                0.67941,                0.78205,                 0.4957,                 1.2677,                0.93963,                   1.41,               0.009703,               0.009703,               0.009703
                      6,                  1.479,                 1.0554,                 1.4532,                0.80731,                0.70207,                0.79862,                0.50974,                 1.2461,                0.88617,                 1.3867,               0.009604,               0.009604,               0.009604
                      7,                 1.4461,                 1.0178,                 1.4283,                0.80458,                0.70414,                0.79452,                0.50682,                 1.2313,                0.89812,                 1.3774,               0.009505,               0.009505,               0.009505
                      8,                 1.4261,                 0.9839,                 1.4137,                0.81914,                0.71317,                0.81243,                0.52959,                 1.1951,                  0.847,                 1.3566,               0.009406,               0.009406,               0.009406
                      9,                 1.4116,                0.97207,                 1.4069,                0.81986,                 0.7159,                0.81262,                0.53309,                 1.1949,                0.83433,                 1.3478,               0.009307,               0.009307,               0.009307
                     10,                 1.3955,                0.95118,                 1.3957,                0.82428,                0.72652,                0.82167,                0.54165,                 1.1744,                0.79785,                 1.3394,               0.009208,               0.009208,               0.009208
                     11,                 1.3825,                0.93157,                 1.3828,                0.82499,                0.73218,                0.82441,                0.54494,                 1.1636,                0.79391,                 1.3251,               0.009109,               0.009109,               0.009109
                     12,                 1.3644,                0.91815,                 1.3758,                0.82921,                0.72938,                0.82689,                0.55179,                 1.1581,                0.77207,                 1.3215,                0.00901,                0.00901,                0.00901
                     13,                 1.3568,                0.90365,                  1.368,                0.82876,                0.74606,                0.83461,                0.55239,                 1.1606,                0.77551,                 1.3224,               0.008911,               0.008911,               0.008911
                     14,                  1.349,                0.89666,                 1.3618,                0.83286,                0.74159,                 0.8371,                0.56124,                  1.148,                0.74236,                 1.3126,               0.008812,               0.008812,               0.008812
                     15,                  1.341,                0.88422,                 1.3498,                  0.839,                0.73495,                 0.8379,                0.55953,                 1.1562,                0.74095,                 1.3122,               0.008713,               0.008713,               0.008713
                     16,                 1.3378,                 0.8769,                 1.3535,                0.83967,                0.75152,                0.84185,                0.56804,                 1.1338,                0.72174,                 1.2975,               0.008614,               0.008614,               0.008614
                     17,                 1.3302,                0.86421,                 1.3447,                0.84079,                0.75057,                0.84437,                0.57304,                 1.1143,                0.72202,                 1.2876,               0.008515,               0.008515,               0.008515
                     18,                 1.3172,                0.85676,                  1.341,                0.83351,                0.75463,                0.84562,                0.57361,                 1.1197,                0.71683,                 1.2872,               0.008416,               0.008416,               0.008416
                     19,                 1.3206,                 0.8527,                 1.3391,                0.83857,                0.75094,                0.84409,                 0.5738,                 1.1042,                0.72561,                 1.2746,               0.008317,               0.008317,               0.008317
                     20,                 1.3207,                0.85029,                 1.3356,                0.83428,                0.76334,                0.84999,                0.57942,                 1.1079,                0.69274,                 1.2781,               0.008218,               0.008218,               0.008218
                     21,                 1.3072,                0.83906,                 1.3305,                0.83659,                0.75848,                 0.8475,                0.58163,                 1.1029,                0.69496,                 1.2743,               0.008119,               0.008119,               0.008119
                     22,                 1.2975,                0.83107,                 1.3261,                 0.8365,                  0.761,                0.84983,                0.58461,                 1.0982,                0.68932,                 1.2722,                0.00802,                0.00802,                0.00802
                     23,                 1.2956,                0.82617,                 1.3268,                0.84585,                0.75784,                0.85235,                0.58185,                 1.1021,                0.69306,                 1.2725,               0.007921,               0.007921,               0.007921
                     24,                 1.2943,                 0.8218,                 1.3202,                0.85209,                 0.7598,                0.85407,                0.58482,                  1.089,                0.68207,                 1.2629,               0.007822,               0.007822,               0.007822
                     25,                 1.2927,                0.81772,                   1.32,                0.84997,                0.75771,                0.85435,                0.58815,                  1.086,                0.68071,                 1.2637,               0.007723,               0.007723,               0.007723
                     26,                 1.2881,                0.81318,                 1.3191,                0.84986,                0.76028,                0.85653,                0.58845,                 1.0926,                0.67758,                 1.2648,               0.007624,               0.007624,               0.007624
                     27,                 1.2902,                0.81455,                 1.3185,                0.83748,                0.77043,                0.85644,                0.58579,                  1.096,                0.67521,                 1.2675,               0.007525,               0.007525,               0.007525
                     28,                 1.2812,                0.80771,                 1.3153,                0.84875,                0.76869,                0.86087,                0.59455,                 1.0806,                0.66068,                 1.2568,               0.007426,               0.007426,               0.007426
                     29,                 1.2868,                0.80537,                 1.3154,                0.84152,                0.77209,                0.85836,                0.59295,                  1.079,                0.65937,                 1.2601,               0.007327,               0.007327,               0.007327
                     30,                 1.2837,                0.79977,                 1.3115,                0.84618,                0.77222,                0.86098,                0.59428,                 1.0753,                  0.659,                 1.2539,               0.007228,               0.007228,               0.007228
                     31,                  1.271,                0.79303,                 1.3076,                0.84761,                0.77131,                0.86209,                0.59592,                 1.0745,                0.65538,                 1.2509,               0.007129,               0.007129,               0.007129
                     32,                   1.27,                0.79264,                 1.3071,                0.84827,                0.77495,                0.86238,                0.59738,                 1.0751,                0.64985,                 1.2501,                0.00703,                0.00703,                0.00703
                     33,                 1.2692,                0.78726,                 1.3016,                0.84875,                0.77486,                0.86346,                0.59825,                 1.0734,                0.64681,                 1.2519,               0.006931,               0.006931,               0.006931
                     34,                 1.2646,                0.78678,                 1.3028,                0.85201,                0.77899,                0.86737,                0.59927,                 1.0721,                0.64453,                 1.2536,               0.006832,               0.006832,               0.006832
                     35,                 1.2644,                0.78449,                 1.3025,                0.85321,                0.77323,                0.86434,                0.60058,                 1.0675,                0.64306,                 1.2461,               0.006733,               0.006733,               0.006733
                     36,                 1.2612,                0.77911,                 1.2954,                0.85218,                0.77716,                0.86571,                0.60228,                 1.0641,                0.64062,                 1.2469,               0.006634,               0.006634,               0.006634
                     37,                 1.2611,                0.77822,                  1.298,                0.85061,                0.78108,                0.86788,                0.60062,                 1.0735,                0.63697,                 1.2506,               0.006535,               0.006535,               0.006535
                     38,                 1.2567,                0.77682,                 1.2999,                0.85128,                0.78095,                 0.8671,                0.60317,                 1.0614,                0.63301,                 1.2435,               0.006436,               0.006436,               0.006436
                     39,                 1.2599,                0.77561,                  1.298,                0.85403,                0.77985,                0.86855,                0.60443,                 1.0593,                0.63389,                 1.2417,               0.006337,               0.006337,               0.006337
                     40,                 1.2522,                0.76884,                 1.2918,                0.85264,                0.78203,                0.86853,                0.60374,                 1.0618,                0.63316,                 1.2416,               0.006238,               0.006238,               0.006238
                     41,                 1.2541,                0.76901,                 1.2948,                0.84944,                0.78459,                0.86973,                0.60648,                 1.0553,                0.62899,                  1.241,               0.006139,               0.006139,               0.006139
                     42,                 1.2525,                0.76692,                 1.2941,                0.85181,                0.78424,                 0.8693,                0.60565,                 1.0599,                0.62693,                 1.2421,                0.00604,                0.00604,                0.00604
                     43,                 1.2489,                0.76415,                 1.2909,                0.85214,                 0.7831,                0.87204,                0.60856,                 1.0526,                0.61963,                 1.2373,               0.005941,               0.005941,               0.005941
                     44,                 1.2431,                0.76139,                 1.2904,                 0.8508,                0.78635,                0.87339,                0.61138,                 1.0497,                0.61661,                 1.2354,               0.005842,               0.005842,               0.005842
                     45,                 1.2467,                0.75939,                 1.2904,                 0.8574,                0.78444,                0.87351,                0.61227,                 1.0442,                0.61668,                 1.2313,               0.005743,               0.005743,               0.005743
                     46,                 1.2422,                0.75958,                 1.2859,                0.86258,                0.78003,                0.87314,                 0.6103,                 1.0494,                0.61603,                 1.2339,               0.005644,               0.005644,               0.005644
