                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2527,                 2.4101,                 3.0527,                0.53551,                0.42102,                0.44617,                0.20738,                  1.945,                 1.6781,                 2.2214,                0.05509,                0.00499,                0.00499
                      2,                 1.9442,                 1.4662,                 1.9229,                0.73327,                0.55744,                0.64889,                0.36379,                 1.5977,                 1.2322,                 1.7689,              0.0099911,              0.0098911,              0.0098911
                      3,                  1.621,                 1.1877,                 1.6059,                0.79059,                0.67047,                0.76986,                0.48549,                 1.2903,                0.97245,                  1.484,               0.009802,               0.009802,               0.009802
                      4,                 1.4781,                 1.0367,                 1.4915,                0.81127,                0.71211,                0.80885,                0.52557,                 1.2068,                0.85883,                 1.4083,               0.009802,               0.009802,               0.009802
                      5,                 1.4141,                0.96567,                  1.438,                 0.8231,                0.72379,                 0.8203,                 0.5389,                 1.1891,                0.80883,                 1.4003,               0.009703,               0.009703,               0.009703
                      6,                  1.374,                0.91827,                 1.4109,                0.82967,                0.74734,                0.83895,                0.55751,                 1.1499,                0.75799,                 1.3669,               0.009604,               0.009604,               0.009604
                      7,                 1.3386,                0.88219,                  1.388,                0.83617,                0.75102,                0.84395,                0.56553,                 1.1356,                 0.7381,                 1.3523,               0.009505,               0.009505,               0.009505
                      8,                  1.317,                 0.8503,                 1.3699,                0.84549,                0.76097,                0.85383,                0.57732,                 1.1155,                0.71103,                   1.34,               0.009406,               0.009406,               0.009406
                      9,                 1.3015,                0.83885,                 1.3652,                0.85009,                0.75615,                0.85266,                0.57945,                 1.1088,                0.70253,                 1.3329,               0.009307,               0.009307,               0.009307
                     10,                 1.2874,                0.81907,                 1.3551,                0.83171,                0.78066,                0.86214,                0.59137,                 1.0896,                0.67023,                 1.3252,               0.009208,               0.009208,               0.009208
                     11,                 1.2749,                0.80231,                 1.3426,                 0.8444,                0.77839,                0.86378,                0.59662,                 1.0773,                0.66412,                 1.3093,               0.009109,               0.009109,               0.009109
                     12,                  1.258,                0.78695,                 1.3366,                0.84615,                0.77867,                0.86584,                0.59975,                 1.0664,                0.65482,                 1.3022,                0.00901,                0.00901,                0.00901
                     13,                 1.2522,                0.77589,                  1.332,                0.84855,                0.78742,                0.87268,                0.60148,                 1.0725,                  0.647,                 1.3056,               0.008911,               0.008911,               0.008911
                     14,                  1.244,                0.76834,                 1.3243,                0.85861,                0.77783,                0.87196,                0.60852,                 1.0533,                  0.639,                 1.2934,               0.008812,               0.008812,               0.008812
                     15,                 1.2383,                0.75888,                 1.3142,                  0.854,                0.78915,                0.87583,                0.60921,                 1.0542,                0.63115,                 1.2917,               0.008713,               0.008713,               0.008713
