                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1796,                 2.3428,                 2.9433,                0.44467,                0.41457,                0.38361,                0.16836,                 2.0675,                  1.747,                 2.2208,                0.05509,                0.00499,                0.00499
                      2,                 1.9561,                 1.4894,                 1.8993,                0.69586,                0.54388,                0.61939,                0.33378,                 1.6787,                 1.2987,                 1.8103,              0.0099911,              0.0098911,              0.0098911
                      3,                   1.66,                 1.2341,                 1.6182,                0.78553,                0.64829,                0.75172,                0.45979,                  1.346,                 1.0469,                 1.5056,               0.009802,               0.009802,               0.009802
                      4,                 1.5246,                 1.0887,                 1.5097,                 0.7972,                0.69433,                 0.7904,                0.50253,                 1.2592,                0.91674,                 1.4265,               0.009802,               0.009802,               0.009802
                      5,                 1.4631,                 1.0202,                 1.4586,                0.81027,                0.71586,                 0.8082,                0.52019,                 1.2306,                 0.8635,                 1.4033,               0.009703,               0.009703,               0.009703
                      6,                 1.4181,                0.97484,                 1.4279,                0.81262,                  0.725,                0.81472,                0.53098,                  1.185,                0.83434,                 1.3635,               0.009604,               0.009604,               0.009604
                      7,                 1.3859,                0.93963,                 1.4052,                0.82117,                0.73412,                0.82767,                0.54527,                 1.1697,                 0.7962,                  1.356,               0.009505,               0.009505,               0.009505
                      8,                 1.3635,                0.90667,                 1.3881,                0.83726,                0.73257,                0.83601,                0.55676,                 1.1422,                 0.7731,                 1.3393,               0.009406,               0.009406,               0.009406
                      9,                 1.3466,                0.89371,                 1.3821,                0.83351,                0.74076,                0.83821,                0.55781,                 1.1531,                0.76304,                 1.3389,               0.009307,               0.009307,               0.009307
                     10,                 1.3323,                0.87632,                 1.3699,                0.83084,                0.75687,                0.84565,                0.56986,                 1.1262,                0.73151,                  1.324,               0.009208,               0.009208,               0.009208
                     11,                 1.3201,                0.85782,                 1.3584,                0.83906,                0.75517,                0.84985,                0.57697,                 1.1113,                0.72078,                 1.3114,               0.009109,               0.009109,               0.009109
                     12,                 1.3028,                 0.8427,                 1.3516,                0.84081,                0.75319,                0.85146,                0.58159,                  1.097,                 0.7092,                 1.3032,                0.00901,                0.00901,                0.00901
                     13,                 1.2965,                0.83054,                 1.3474,                0.84023,                0.76795,                0.85716,                0.58342,                 1.1051,                0.70119,                 1.3059,               0.008911,               0.008911,               0.008911
                     14,                 1.2892,                0.82317,                 1.3404,                0.84298,                0.76258,                0.85465,                 0.5833,                  1.104,                0.68865,                  1.303,               0.008812,               0.008812,               0.008812
                     15,                 1.2834,                0.81495,                 1.3299,                0.83927,                 0.7679,                0.85904,                0.58919,                 1.0925,                0.68612,                 1.2929,               0.008713,               0.008713,               0.008713
                     16,                 1.2787,                0.80892,                  1.335,                0.84764,                0.77027,                0.86108,                0.59083,                 1.0901,                0.67114,                 1.2955,               0.008614,               0.008614,               0.008614
                     17,                 1.2715,                0.79818,                 1.3255,                 0.8522,                0.77547,                0.86773,                 0.6021,                 1.0707,                0.65817,                 1.2812,               0.008515,               0.008515,               0.008515
                     18,                 1.2585,                0.79065,                 1.3209,                0.84198,                0.78221,                0.86703,                0.59997,                 1.0699,                0.65938,                 1.2825,               0.008416,               0.008416,               0.008416
                     19,                 1.2613,                0.78782,                 1.3199,                0.84994,                0.78483,                0.87069,                0.60321,                 1.0697,                 0.6579,                 1.2772,               0.008317,               0.008317,               0.008317
                     20,                 1.2606,                0.78468,                 1.3162,                0.85399,                0.78029,                0.87151,                0.60629,                 1.0669,                  0.645,                 1.2698,               0.008218,               0.008218,               0.008218
                     21,                 1.2479,                 0.7739,                 1.3092,                 0.8497,                0.78686,                0.87277,                 0.6081,                 1.0576,                0.64572,                 1.2705,               0.008119,               0.008119,               0.008119
                     22,                 1.2389,                0.76941,                 1.3087,                0.85543,                0.78377,                0.87449,                0.61005,                 1.0517,                0.64142,                 1.2681,                0.00802,                0.00802,                0.00802
                     23,                 1.2355,                0.76095,                 1.3068,                 0.8504,                0.79116,                0.87403,                0.61081,                 1.0528,                0.63105,                 1.2678,               0.007921,               0.007921,               0.007921
                     24,                 1.2353,                0.75853,                 1.3018,                0.85398,                0.78686,                0.87625,                0.61296,                 1.0522,                0.62821,                 1.2647,               0.007822,               0.007822,               0.007822
                     25,                 1.2331,                0.75498,                 1.3012,                0.85805,                0.78199,                 0.8768,                0.61147,                 1.0493,                0.63035,                 1.2636,               0.007723,               0.007723,               0.007723
                     26,                 1.2278,                0.74922,                 1.3002,                 0.8573,                0.78747,                0.87742,                0.61543,                  1.046,                0.62537,                 1.2649,               0.007624,               0.007624,               0.007624
                     27,                  1.229,                0.75075,                 1.2995,                0.85298,                0.79448,                0.88185,                 0.6174,                 1.0419,                0.61871,                 1.2601,               0.007525,               0.007525,               0.007525
                     28,                 1.2227,                0.74588,                 1.2963,                 0.8604,                 0.7956,                0.88253,                 0.6219,                 1.0387,                0.61121,                 1.2574,               0.007426,               0.007426,               0.007426
                     29,                 1.2273,                0.74615,                 1.2964,                0.85204,                0.79314,                0.87785,                0.61774,                 1.0383,                0.61406,                 1.2563,               0.007327,               0.007327,               0.007327
                     30,                 1.2237,                0.73771,                 1.2906,                0.85702,                0.79529,                0.88234,                0.61879,                 1.0445,                0.61096,                  1.257,               0.007228,               0.007228,               0.007228
                     31,                  1.211,                0.73164,                 1.2873,                0.85459,                0.79801,                0.88235,                 0.6225,                 1.0335,                0.60488,                  1.252,               0.007129,               0.007129,               0.007129
                     32,                 1.2105,                0.73282,                 1.2888,                0.85695,                0.80385,                0.88504,                0.62271,                 1.0362,                0.60123,                 1.2538,                0.00703,                0.00703,                0.00703
                     33,                 1.2097,                 0.7269,                 1.2827,                0.86193,                0.80197,                0.88588,                0.62366,                  1.035,                0.59687,                 1.2528,               0.006931,               0.006931,               0.006931
