                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2289,                 3.1065,                 2.4457,                0.22435,                0.14976,                0.09287,                0.04249,                   2.14,                 1.9125,                 1.5442,               0.055111,              0.0049877,              0.0049877
                      2,                 2.0198,                 1.9058,                 1.4228,                0.25725,                0.18804,                0.15225,                0.08089,                 1.7804,                 1.6409,                 1.2713,               0.010012,              0.0098888,              0.0098888
                      3,                 1.7495,                 1.5721,                 1.2477,                0.33503,                0.26405,                0.24025,                0.13292,                  1.558,                 1.3337,                  1.166,               0.009802,               0.009802,               0.009802
                      4,                  1.578,                 1.3427,                  1.168,                0.38719,                0.30033,                0.29206,                0.16712,                 1.4546,                   1.18,                 1.1152,               0.009802,               0.009802,               0.009802
                      5,                 1.4925,                 1.2306,                 1.1311,                0.41924,                0.32399,                0.31829,                0.18524,                 1.4079,                 1.1078,                  1.094,               0.009703,               0.009703,               0.009703
                      6,                 1.4301,                 1.1508,                 1.0984,                0.42868,                0.35369,                0.34177,                0.19829,                 1.3701,                 1.0663,                 1.0709,               0.009604,               0.009604,               0.009604
                      7,                 1.3981,                 1.0985,                 1.0899,                0.45735,                0.36443,                0.36501,                0.21593,                 1.3255,                 1.0176,                 1.0603,               0.009505,               0.009505,               0.009505
                      8,                  1.359,                 1.0599,                 1.0722,                0.47993,                0.38085,                0.37759,                0.22427,                 1.2978,                 1.0222,                 1.0451,               0.009406,               0.009406,               0.009406
                      9,                 1.3412,                 1.0244,                 1.0611,                0.47622,                0.38776,                0.39153,                0.23418,                 1.2722,                0.98285,                 1.0357,               0.009307,               0.009307,               0.009307
                     10,                 1.3128,                 0.9933,                 1.0495,                 0.4897,                0.38056,                0.39955,                0.23958,                 1.2743,                0.97463,                 1.0393,               0.009208,               0.009208,               0.009208
                     11,                 1.3083,                0.98811,                 1.0505,                0.51075,                0.40442,                0.41408,                0.24979,                 1.2442,                0.93414,                 1.0266,               0.009109,               0.009109,               0.009109
                     12,                 1.2853,                0.96234,                 1.0428,                0.51839,                0.41086,                0.42374,                0.25495,                 1.2391,                0.92973,                 1.0231,                0.00901,                0.00901,                0.00901
                     13,                 1.2824,                 0.9433,                 1.0345,                0.51002,                 0.4109,                0.42423,                0.25386,                 1.2488,                 0.9059,                 1.0247,               0.008911,               0.008911,               0.008911
                     14,                 1.2689,                0.93417,                 1.0335,                0.52716,                0.42633,                0.43816,                0.26674,                 1.2138,                 0.9045,                 1.0143,               0.008812,               0.008812,               0.008812
                     15,                 1.2591,                 0.9213,                  1.025,                0.51659,                0.43116,                0.43669,                0.26643,                 1.2197,                0.90458,                 1.0159,               0.008713,               0.008713,               0.008713
                     16,                 1.2463,                0.90389,                 1.0202,                0.54701,                0.43478,                0.45036,                0.27509,                 1.2105,                0.87403,                 1.0114,               0.008614,               0.008614,               0.008614
                     17,                 1.2488,                0.90113,                 1.0237,                0.54274,                0.43556,                0.45248,                0.27689,                  1.202,                0.87238,                 1.0075,               0.008515,               0.008515,               0.008515
                     18,                 1.2239,                0.87695,                 1.0159,                0.55551,                 0.4378,                 0.4577,                0.28023,                 1.1989,                0.86282,                 1.0067,               0.008416,               0.008416,               0.008416
                     19,                 1.2325,                0.87374,                 1.0133,                0.56065,                0.43883,                0.45758,                0.27967,                 1.1914,                0.86116,                  1.003,               0.008317,               0.008317,               0.008317
                     20,                 1.2203,                0.86138,                 1.0165,                0.55742,                0.44543,                0.46662,                0.28459,                 1.1965,                0.85561,                 1.0051,               0.008218,               0.008218,               0.008218
                     21,                 1.2077,                0.85385,                 1.0119,                0.55832,                0.44879,                  0.467,                0.28655,                 1.1906,                0.85211,                 1.0018,               0.008119,               0.008119,               0.008119
                     22,                 1.2151,                0.84296,                  1.003,                0.57346,                 0.4579,                0.48233,                0.29786,                 1.1732,                0.82949,                0.99684,                0.00802,                0.00802,                0.00802
                     23,                 1.1964,                0.83057,                 1.0032,                 0.5726,                0.45421,                0.47642,                0.29376,                 1.1714,                0.83442,                0.99497,               0.007921,               0.007921,               0.007921
                     24,                 1.1922,                0.83192,                0.99919,                0.57845,                0.46604,                0.49047,                0.30151,                 1.1738,                0.82548,                0.99701,               0.007822,               0.007822,               0.007822
                     25,                 1.1785,                0.81089,                0.99471,                0.57371,                0.47205,                0.49048,                0.30254,                 1.1699,                0.81914,                0.99567,               0.007723,               0.007723,               0.007723
                     26,                  1.179,                0.81172,                 1.0008,                0.56596,                0.46994,                0.48832,                0.30206,                 1.1754,                0.82308,                0.99624,               0.007624,               0.007624,               0.007624
                     27,                 1.1725,                0.80647,                0.99654,                0.56926,                0.47147,                0.48794,                0.30039,                 1.1722,                0.82098,                0.99469,               0.007525,               0.007525,               0.007525
                     28,                   1.17,                 0.8015,                0.99586,                0.58404,                0.47145,                0.49306,                0.30484,                 1.1618,                0.81272,                0.99161,               0.007426,               0.007426,               0.007426
                     29,                 1.1625,                0.79569,                0.98649,                0.57732,                0.48472,                0.49948,                0.30823,                  1.155,                0.80729,                0.98883,               0.007327,               0.007327,               0.007327
                     30,                 1.1604,                0.78637,                0.99239,                0.58116,                0.48509,                0.49975,                0.30901,                 1.1531,                0.80142,                0.99001,               0.007228,               0.007228,               0.007228
                     31,                   1.16,                0.78038,                 0.9926,                0.58991,                0.48521,                 0.5052,                0.31157,                 1.1575,                0.79618,                 0.9882,               0.007129,               0.007129,               0.007129
                     32,                 1.1585,                0.77849,                0.99276,                 0.5761,                0.48404,                0.50168,                0.31039,                 1.1567,                  0.801,                0.98945,                0.00703,                0.00703,                0.00703
