                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2522,                 3.0927,                 2.4174,                0.22996,                0.14173,                0.08886,                0.04156,                 2.1754,                 1.9908,                 1.5304,               0.055111,              0.0049877,              0.0049877
                      2,                 2.0785,                 1.9973,                 1.4532,                0.20015,                0.20097,                0.14192,                0.07091,                   1.88,                 1.7334,                 1.3341,               0.010012,              0.0098888,              0.0098888
                      3,                 1.8136,                 1.6626,                 1.2813,                0.30732,                0.24888,                0.21449,                 0.1185,                 1.6105,                 1.4084,                 1.1971,               0.009802,               0.009802,               0.009802
                      4,                 1.6465,                 1.4382,                 1.2004,                0.34542,                0.28333,                0.26442,                0.14919,                 1.5222,                 1.2509,                 1.1461,               0.009802,               0.009802,               0.009802
                      5,                 1.5572,                 1.3189,                 1.1597,                0.37924,                0.30202,                0.28874,                0.16336,                  1.456,                 1.1774,                 1.1188,               0.009703,               0.009703,               0.009703
                      6,                 1.4887,                 1.2355,                 1.1241,                 0.3942,                0.32258,                0.30338,                0.17275,                 1.4318,                 1.1418,                 1.0984,               0.009604,               0.009604,               0.009604
                      7,                 1.4549,                 1.1739,                 1.1128,                0.41704,                0.33153,                0.31733,                0.18323,                 1.3873,                 1.1034,                 1.0836,               0.009505,               0.009505,               0.009505
                      8,                 1.4124,                 1.1314,                  1.094,                0.42604,                0.35381,                0.34238,                0.20037,                 1.3564,                 1.0696,                 1.0702,               0.009406,               0.009406,               0.009406
                      9,                 1.3953,                 1.0935,                 1.0831,                0.46291,                0.34848,                0.35424,                0.20941,                 1.3356,                 1.0262,                 1.0576,               0.009307,               0.009307,               0.009307
                     10,                 1.3643,                 1.0571,                 1.0699,                0.46923,                0.35345,                0.36236,                0.21466,                 1.3238,                  1.015,                 1.0586,               0.009208,               0.009208,               0.009208
                     11,                 1.3606,                 1.0533,                 1.0706,                0.47213,                0.38782,                0.38452,                0.22994,                 1.2905,                0.99328,                 1.0428,               0.009109,               0.009109,               0.009109
                     12,                  1.336,                 1.0247,                 1.0628,                0.48232,                0.38899,                0.38943,                0.23184,                 1.2859,                  0.963,                 1.0427,                0.00901,                0.00901,                0.00901
                     13,                 1.3312,                  1.008,                  1.054,                0.48332,                0.38294,                0.38568,                0.22929,                 1.3044,                0.97121,                 1.0453,               0.008911,               0.008911,               0.008911
                     14,                 1.3197,                0.99604,                 1.0532,                0.48564,                0.40259,                0.40027,                0.23968,                 1.2627,                0.95254,                 1.0315,               0.008812,               0.008812,               0.008812
                     15,                 1.3111,                0.98136,                 1.0447,                0.47964,                0.39755,                0.40232,                0.24117,                 1.2607,                0.94904,                 1.0311,               0.008713,               0.008713,               0.008713
