                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2153,                  3.055,                 2.2371,                0.08584,                 0.1398,                0.07877,                0.03499,                 2.3367,                 2.2189,                 1.5595,               0.055111,              0.0049877,              0.0049877
                      2,                 2.1867,                 2.0945,                 1.4784,                0.16016,                0.13492,                0.09943,                0.04773,                 2.0417,                 1.8435,                 1.3913,               0.010012,              0.0098888,              0.0098888
                      3,                 1.9251,                 1.7874,                 1.3158,                0.18576,                0.13129,                0.10157,                0.05275,                  1.991,                 2.1646,                 1.3736,               0.009802,               0.009802,               0.009802
                      4,                 1.7589,                 1.5796,                 1.2358,                0.27894,                0.25701,                0.21793,                0.12081,                 1.6118,                 1.3731,                 1.1798,               0.009802,               0.009802,               0.009802
                      5,                 1.6645,                 1.4512,                 1.1931,                0.32057,                0.26763,                0.24512,                0.13446,                 1.5856,                 1.2919,                 1.1604,               0.009703,               0.009703,               0.009703
                      6,                 1.5911,                  1.361,                 1.1558,                0.34055,                 0.2834,                0.25681,                0.14483,                 1.5122,                 1.2418,                 1.1206,               0.009604,               0.009604,               0.009604
                      7,                 1.5549,                 1.2966,                 1.1427,                0.39608,                0.31338,                0.29105,                0.16594,                 1.4518,                 1.1794,                 1.1104,               0.009505,               0.009505,               0.009505
                      8,                 1.5131,                 1.2522,                 1.1247,                0.38619,                0.31215,                0.29509,                0.16767,                 1.4545,                 1.1653,                  1.106,               0.009406,               0.009406,               0.009406
                      9,                 1.4935,                 1.2162,                 1.1129,                0.39277,                0.31799,                0.30066,                0.17403,                 1.4156,                 1.1377,                 1.0848,               0.009307,               0.009307,               0.009307
                     10,                  1.459,                 1.1743,                 1.0985,                0.40905,                 0.3292,                0.32551,                0.18833,                 1.3961,                 1.1005,                 1.0819,               0.009208,               0.009208,               0.009208
                     11,                  1.453,                 1.1664,                 1.0971,                0.43215,                0.34787,                0.33704,                0.19858,                  1.358,                 1.0707,                 1.0664,               0.009109,               0.009109,               0.009109
                     12,                 1.4286,                 1.1375,                 1.0895,                 0.4333,                0.35433,                0.34797,                0.20228,                 1.3531,                 1.0476,                  1.063,                0.00901,                0.00901,                0.00901
                     13,                 1.4212,                 1.1213,                 1.0799,                0.44861,                0.35654,                0.35391,                0.20377,                 1.3642,                 1.0388,                  1.063,               0.008911,               0.008911,               0.008911
                     14,                 1.4043,                 1.1062,                 1.0777,                0.45229,                0.36514,                0.36042,                0.20942,                 1.3319,                 1.0317,                 1.0579,               0.008812,               0.008812,               0.008812
                     15,                 1.3959,                 1.0908,                 1.0677,                0.43703,                0.37092,                0.36321,                 0.2134,                 1.3197,                  1.018,                 1.0506,               0.008713,               0.008713,               0.008713
                     16,                 1.3801,                 1.0701,                 1.0632,                0.47128,                0.37054,                0.36604,                0.21497,                 1.3211,                 1.0114,                 1.0466,               0.008614,               0.008614,               0.008614
                     17,                 1.3839,                 1.0676,                 1.0674,                0.45415,                0.37945,                0.37602,                0.21963,                 1.3207,                 1.0013,                 1.0453,               0.008515,               0.008515,               0.008515
                     18,                 1.3545,                  1.042,                 1.0564,                 0.4764,                0.37732,                0.37595,                0.22185,                 1.2972,                0.98578,                 1.0419,               0.008416,               0.008416,               0.008416
                     19,                 1.3651,                  1.038,                 1.0549,                0.48116,                0.38331,                  0.383,                0.22483,                 1.2992,                0.98378,                 1.0395,               0.008317,               0.008317,               0.008317
                     20,                 1.3473,                 1.0256,                 1.0554,                 0.4818,                0.38525,                 0.3889,                 0.2302,                 1.2942,                0.97487,                 1.0387,               0.008218,               0.008218,               0.008218
                     21,                 1.3355,                 1.0168,                 1.0506,                0.48337,                0.39158,                0.39676,                0.23488,                 1.2893,                0.96234,                  1.035,               0.008119,               0.008119,               0.008119
                     22,                 1.3461,                 1.0037,                 1.0426,                0.49965,                0.39214,                0.39922,                0.23756,                 1.2846,                0.96116,                 1.0315,                0.00802,                0.00802,                0.00802
                     23,                 1.3228,                0.98872,                 1.0429,                0.49804,                0.38635,                0.39766,                 0.2357,                 1.2744,                0.95229,                 1.0285,               0.007921,               0.007921,               0.007921
                     24,                  1.323,                0.99387,                 1.0397,                0.49318,                0.40311,                0.40505,                0.23975,                 1.2728,                0.94906,                 1.0266,               0.007822,               0.007822,               0.007822
                     25,                 1.3071,                0.97134,                 1.0341,                0.49977,                0.39812,                 0.4067,                0.24178,                 1.2701,                0.94476,                 1.0268,               0.007723,               0.007723,               0.007723
                     26,                 1.3071,                0.97184,                  1.041,                 0.5057,                0.40472,                0.41317,                0.24739,                 1.2694,                0.93753,                 1.0261,               0.007624,               0.007624,               0.007624
                     27,                 1.2985,                0.96407,                 1.0359,                0.51523,                0.40739,                0.41643,                0.24833,                 1.2602,                0.93248,                 1.0228,               0.007525,               0.007525,               0.007525
                     28,                 1.2961,                0.96136,                 1.0336,                 0.5129,                0.41027,                0.41866,                0.25083,                 1.2566,                0.92911,                 1.0231,               0.007426,               0.007426,               0.007426
