                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2804,                 3.1632,                 2.2186,                0.29019,                 0.1108,                0.06839,                0.02803,                 2.5165,                 2.3197,                 1.6056,               0.055111,              0.0049877,              0.0049877
                      2,                 2.2875,                 2.2483,                 1.5144,                0.25166,                0.13154,                0.09339,                0.04297,                 2.1214,                 1.8831,                 1.4266,               0.010012,              0.0098888,              0.0098888
                      3,                 2.0274,                 1.9395,                 1.3567,                0.20566,                  0.179,                0.13412,                0.06878,                 1.8497,                 1.7236,                 1.2637,               0.009802,               0.009802,               0.009802
                      4,                 1.8721,                 1.7415,                  1.279,                0.22137,                0.21884,                0.17299,                0.09092,                 1.7344,                  1.541,                 1.2262,               0.009802,               0.009802,               0.009802
                      5,                 1.7874,                 1.6182,                   1.24,                0.25316,                0.23496,                0.19161,                0.10249,                 1.6917,                 1.4342,                 1.2027,               0.009703,               0.009703,               0.009703
                      6,                 1.7137,                 1.5336,                 1.2013,                0.27623,                0.24202,                0.20514,                0.10945,                 1.6563,                 1.3689,                 1.1742,               0.009604,               0.009604,               0.009604
                      7,                 1.6777,                 1.4671,                 1.1879,                0.27732,                0.26653,                0.22108,                 0.1216,                 1.5827,                 1.3464,                 1.1567,               0.009505,               0.009505,               0.009505
                      8,                 1.6379,                 1.4204,                 1.1706,                0.31302,                0.25548,                0.23051,                0.12468,                 1.5746,                 1.3186,                 1.1523,               0.009406,               0.009406,               0.009406
                      9,                 1.6119,                 1.3777,                 1.1556,                0.33692,                0.25804,                0.24438,                0.13469,                 1.5276,                 1.2605,                 1.1259,               0.009307,               0.009307,               0.009307
                     10,                 1.5783,                 1.3333,                 1.1402,                0.33876,                0.27368,                0.25219,                0.13989,                 1.5159,                 1.2493,                  1.125,               0.009208,               0.009208,               0.009208
                     11,                 1.5732,                 1.3296,                 1.1409,                0.34414,                0.28604,                0.26121,                0.14725,                 1.4941,                 1.2282,                 1.1157,               0.009109,               0.009109,               0.009109
                     12,                 1.5501,                 1.2929,                 1.1332,                0.35265,                0.30719,                0.27618,                0.15437,                 1.4732,                 1.2052,                 1.1094,                0.00901,                0.00901,                0.00901
                     13,                 1.5449,                 1.2791,                 1.1236,                  0.367,                0.30912,                0.28377,                0.15939,                 1.4599,                 1.1754,                 1.0961,               0.008911,               0.008911,               0.008911
                     14,                 1.5236,                 1.2621,                 1.1184,                0.37856,                0.30232,                0.29111,                0.16479,                 1.4341,                 1.1631,                 1.0906,               0.008812,               0.008812,               0.008812
                     15,                 1.5161,                 1.2476,                 1.1098,                0.37332,                0.29722,                0.28455,                0.16177,                  1.434,                 1.1838,                 1.0902,               0.008713,               0.008713,               0.008713
                     16,                 1.5017,                 1.2208,                 1.1051,                 0.3865,                0.31768,                0.30445,                 0.1741,                  1.429,                 1.1224,                 1.0826,               0.008614,               0.008614,               0.008614
                     17,                 1.5034,                  1.221,                 1.1088,                0.36966,                0.31898,                0.29867,                0.17039,                 1.4338,                 1.1438,                 1.0855,               0.008515,               0.008515,               0.008515
                     18,                 1.4742,                 1.1931,                  1.098,                0.40236,                0.31944,                0.31082,                0.17673,                 1.4104,                 1.1219,                 1.0788,               0.008416,               0.008416,               0.008416
                     19,                  1.482,                 1.1916,                 1.0946,                0.40475,                0.33374,                0.32096,                0.18331,                 1.3996,                 1.0978,                 1.0719,               0.008317,               0.008317,               0.008317
                     20,                 1.4648,                 1.1764,                 1.0952,                0.41243,                0.32867,                0.32418,                0.18672,                 1.3993,                 1.0895,                 1.0713,               0.008218,               0.008218,               0.008218
                     21,                 1.4547,                 1.1694,                 1.0909,                0.40284,                0.32409,                0.31733,                0.18341,                 1.3937,                 1.0968,                 1.0696,               0.008119,               0.008119,               0.008119
                     22,                 1.4665,                 1.1551,                 1.0826,                0.41549,                0.34011,                 0.3302,                0.19005,                 1.3735,                 1.0701,                 1.0615,                0.00802,                0.00802,                0.00802
                     23,                 1.4381,                 1.1387,                 1.0805,                0.40659,                0.35269,                0.33319,                0.19196,                 1.3757,                 1.0657,                 1.0622,               0.007921,               0.007921,               0.007921
                     24,                 1.4432,                  1.147,                 1.0776,                0.42126,                0.34948,                 0.3404,                0.19719,                  1.374,                 1.0664,                 1.0599,               0.007822,               0.007822,               0.007822
                     25,                 1.4363,                 1.1292,                 1.0716,                0.41297,                0.35118,                0.34211,                0.19911,                 1.3941,                 1.0842,                 1.0583,               0.007723,               0.007723,               0.007723
                     26,                 1.4432,                 1.1379,                 1.0783,                0.44281,                0.33904,                0.34054,                0.19672,                 1.3995,                 1.0926,                 1.0557,               0.007624,               0.007624,               0.007624
                     27,                 1.4418,                 1.1347,                  1.072,                0.42928,                0.35503,                0.34656,                0.20194,                 1.3933,                 1.0788,                 1.0521,               0.007525,               0.007525,               0.007525
                     28,                 1.4408,                 1.1373,                 1.0671,                 0.4362,                0.36239,                0.35523,                0.20685,                 1.3797,                 1.0603,                 1.0504,               0.007426,               0.007426,               0.007426
                     29,                 1.4384,                 1.1316,                 1.0591,                0.42622,                0.34995,                0.34293,                0.20147,                 1.3852,                 1.0737,                 1.0465,               0.007327,               0.007327,               0.007327
                     30,                  1.437,                 1.1271,                 1.0638,                0.44231,                0.35732,                 0.3552,                0.20852,                 1.3755,                 1.0667,                 1.0406,               0.007228,               0.007228,               0.007228
                     31,                 1.4334,                 1.1173,                 1.0621,                0.43231,                0.36659,                0.35579,                0.20699,                  1.381,                 1.0692,                 1.0418,               0.007129,               0.007129,               0.007129
                     32,                 1.4338,                 1.1207,                 1.0609,                0.45131,                 0.3557,                0.35651,                 0.2094,                  1.374,                 1.0568,                 1.0368,                0.00703,                0.00703,                0.00703
                     33,                 1.4312,                 1.1151,                 1.0554,                0.44411,                 0.3566,                0.36027,                0.21097,                 1.3738,                 1.0514,                 1.0374,               0.006931,               0.006931,               0.006931
                     34,                 1.4257,                 1.1085,                 1.0519,                0.45651,                0.36712,                0.36576,                0.21553,                 1.3661,                 1.0394,                 1.0354,               0.006832,               0.006832,               0.006832
