                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.851,                 2.2694,                 1.1033,                0.19854,                0.16295,                0.11534,                0.06001,                  1.772,                 1.6247,                 1.0631,               0.055111,              0.0049877,              0.0049877
                      2,                 1.8114,                 1.6832,                 1.0603,                0.19793,                0.19041,                0.13977,                0.07033,                 1.8064,                 1.5346,                   1.03,               0.010012,              0.0098888,              0.0098888
                      3,                 1.7977,                 1.5892,                 1.0332,                0.25121,                0.20615,                0.16573,                0.08824,                 1.7517,                  1.435,                 1.0324,               0.009802,               0.009802,               0.009802
                      4,                 1.7382,                 1.4983,                 1.0122,                0.26404,                0.21403,                0.18638,                0.10087,                 1.6689,                 1.3875,                0.99767,               0.009802,               0.009802,               0.009802
                      5,                  1.698,                 1.4277,                0.99927,                0.28647,                0.23458,                0.20196,                0.11316,                 1.6262,                 1.3234,                0.97546,               0.009703,               0.009703,               0.009703
                      6,                 1.6745,                 1.3902,                0.98928,                0.29725,                 0.2329,                0.20599,                0.11568,                 1.5835,                 1.2893,                0.96452,               0.009604,               0.009604,               0.009604
                      7,                 1.6499,                 1.3499,                0.98464,                0.30158,                0.24689,                0.21775,                0.12158,                 1.5596,                 1.2642,                0.96733,               0.009505,               0.009505,               0.009505
                      8,                 1.6321,                 1.3223,                0.97805,                0.32833,                0.23945,                 0.2211,                0.12194,                 1.5914,                 1.2531,                0.96422,               0.009406,               0.009406,               0.009406
                      9,                 1.6109,                 1.3017,                0.97334,                0.31025,                0.24648,                0.22387,                0.12522,                 1.5388,                 1.2895,                0.96013,               0.009307,               0.009307,               0.009307
                     10,                 1.5986,                 1.2787,                0.96962,                0.31813,                0.25333,                0.23017,                0.12971,                 1.5365,                 1.2168,                0.95789,               0.009208,               0.009208,               0.009208
                     11,                 1.5958,                 1.2723,                0.97045,                0.33842,                0.25791,                0.24156,                0.13398,                 1.5143,                 1.1929,                0.95308,               0.009109,               0.009109,               0.009109
                     12,                 1.5688,                 1.2436,                0.96652,                0.32789,                0.25361,                0.23615,                0.13338,                 1.5132,                 1.1841,                0.94721,                0.00901,                0.00901,                0.00901
