                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6224,                 1.7147,                 1.0084,                0.27852,                0.24504,                0.20851,                0.11587,                  1.504,                 1.2328,                0.95562,               0.055111,              0.0049877,              0.0049877
                      2,                 1.5931,                 1.3248,                0.97427,                0.30596,                0.25742,                 0.2252,                 0.1242,                 1.5601,                 1.2294,                0.96292,               0.010012,              0.0098888,              0.0098888
                      3,                 1.6084,                   1.27,                0.97516,                0.30776,                0.26628,                0.23454,                0.12887,                 1.5543,                 1.2106,                 0.9658,               0.009802,               0.009802,               0.009802
                      4,                 1.5564,                 1.2191,                0.96317,                0.34472,                0.28264,                0.26378,                0.14812,                 1.4943,                 1.1541,                0.94579,               0.009802,               0.009802,               0.009802
                      5,                 1.5261,                 1.1747,                0.95586,                0.37053,                0.29249,                0.27509,                0.15592,                 1.4308,                 1.1028,                0.93165,               0.009703,               0.009703,               0.009703
                      6,                 1.5034,                  1.146,                0.94767,                0.39812,                0.30123,                0.28872,                0.16499,                  1.409,                 1.0745,                0.92866,               0.009604,               0.009604,               0.009604
                      7,                 1.4776,                 1.1226,                0.94341,                0.37707,                 0.2967,                0.28238,                0.16303,                  1.412,                 1.0828,                0.92912,               0.009505,               0.009505,               0.009505
                      8,                 1.4635,                 1.0996,                0.93857,                0.39335,                0.30703,                0.29654,                0.16708,                 1.4104,                 1.0611,                 0.9249,               0.009406,               0.009406,               0.009406
                      9,                 1.4427,                 1.0839,                0.93418,                0.41277,                0.30627,                0.30405,                0.17441,                 1.3791,                 1.0431,                0.92131,               0.009307,               0.009307,               0.009307
                     10,                 1.4316,                 1.0712,                0.93226,                 0.4155,                0.31352,                0.30866,                0.18023,                 1.3726,                 1.0496,                0.91812,               0.009208,               0.009208,               0.009208
                     11,                 1.4276,                 1.0639,                 0.9316,                0.42926,                0.31916,                0.31431,                0.18293,                 1.3613,                 1.0312,                0.91738,               0.009109,               0.009109,               0.009109
                     12,                 1.4024,                 1.0411,                0.92832,                 0.4378,                  0.325,                0.32153,                0.18482,                 1.3554,                 1.0116,                0.91495,                0.00901,                0.00901,                0.00901
                     13,                 1.4064,                 1.0367,                0.92499,                0.40941,                0.32528,                0.31757,                0.18257,                 1.3485,                 1.0159,                0.91168,               0.008911,               0.008911,               0.008911
                     14,                 1.3985,                 1.0294,                0.92321,                0.44099,                 0.3245,                  0.319,                 0.1837,                 1.3496,                 1.0161,                0.91184,               0.008812,               0.008812,               0.008812
                     15,                 1.3904,                 1.0165,                0.92225,                0.44046,                0.32453,                 0.3243,                0.18762,                 1.3492,                 1.0107,                0.91239,               0.008713,               0.008713,               0.008713
                     16,                   1.38,                 1.0075,                 0.9207,                0.42892,                0.32139,                0.32348,                0.18967,                 1.3336,                 1.0002,                 0.9087,               0.008614,               0.008614,               0.008614
                     17,                 1.3776,                 1.0044,                0.91997,                0.44154,                0.33604,                0.33706,                0.19617,                 1.3193,                0.97955,                0.90917,               0.008515,               0.008515,               0.008515
                     18,                 1.3755,                0.99901,                0.91651,                0.42984,                 0.3443,                0.33295,                0.19424,                 1.3168,                0.98418,                0.90553,               0.008416,               0.008416,               0.008416
                     19,                 1.3649,                0.98265,                0.91507,                0.45131,                0.34321,                0.34225,                0.19987,                  1.323,                 0.9744,                0.90659,               0.008317,               0.008317,               0.008317
                     20,                 1.3528,                0.97413,                0.91448,                0.45899,                0.33555,                0.34315,                0.20061,                 1.3109,                0.96561,                0.90435,               0.008218,               0.008218,               0.008218
                     21,                 1.3541,                0.97411,                0.91283,                  0.446,                0.33523,                0.33774,                0.19743,                 1.3166,                0.97944,                0.90324,               0.008119,               0.008119,               0.008119
